,company,location,salary,title
42656,    Oscar Technology,"Charlotte, NC","$115,000 - $140,000 a year","Data Scientist – SAS, R, SQL, Python, Hadoop, Analytics"
42662,    UNC Charlotte,"Charlotte, NC","$60,000 - $80,000 a year",Biostatistics/Bioinformatics Research Scientist
42666,"    Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
42670,"    Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","$140,000 - $165,000 a year",Data Scientist Data Modeling (Machine Learning Python)
42681,    Prospect Infosys Inc.,"Charlotte, NC","$100,000 - $180,000 a year",Sr Quantitative Finance Analyst
42692,    The Creative Group,"Charlotte, NC 28204 (Elizabeth area)","$50,000 - $60,000 a year",Account Manager
42701,    Lighthouse Recruiting,"Charlotte, NC","$60,000 - $75,000 a year",Certifying Scientist
42703,    3coast,"Charlotte, NC","$150,000 - $225,000 a year",Product Analytics / Data Science Director
42707,"    Kennedy Unlimited Inc, Professional Staffing","Charlotte, NC","$120,000 - $150,000 a year",Analytics Manager (Machine Learning)
45809,    Source Select Group,"Tampa Bay, FL","$80,000 - $100,000 a year",Data Statistical Analyst/(data scientist)
45814,    University of South Florida,"Tampa, FL","$31,000 a year",Biological Scientist - Allergy
45844,    University of South Florida,"Tampa, FL","$65,000 a year",Data Engineer
45851,    University of South Florida,"Tampa, FL","$85,000 a year",Sr. Data Engineer
45860,"    Vaco, LLC","Tampa, FL 33609 (Swann Estates area)","$50,000 - $60,000 a year",Marketing Research Analyst
4,    Ohio State University Medical Center,"Columbus, OH 43212","$50,000 - $55,000 a year",Research Scientist
5,    Ohio State University Medical Center,"Columbus, OH 43212",$19.48 - $23.35 an hour,Research Data Analyst
26,    Ohio State University Medical Center,"Columbus, OH 43212",$11.10 - $16.71 an hour,Research Assistant 1-B/H
53,    Ohio State University Medical Center,"Columbus, OH 43212",$15.51 - $19.00 an hour,Statistical Information Spec 1
3154,    Texas Tech Univ Health Sciences Ctr,"Dallas-Fort Worth, TX","$4,000 a month",HSC Sr Research Scientist
3160,    Apex Life Sciences,"Fort Worth, TX",$21 - $24 an hour,Packaging Scientist
3212,    Cottonwood Financial,"Irving, TX 75038","$120,000 a year",DIRECTOR OF MARKETING ANALYTICS
6293,    American Title Inc,"Omaha, NE 68164",$12 an hour,Property Research Analyst
9426,    City of El Paso,"El Paso, TX","$55,634 - $77,748 a year",Public Health Laboratory Manager
10494,    TekHiring.com,"Sunnyvale, CA",$55 - $90 an hour,Data Scientist @ Apple.Inc
10510,    TERADEEP INC.,"Campbell, CA","$40,000 - $80,000 a year",Machine Learning / Deep Learning Internship(s)
10516,    Cloud Big Data Technologies,"Redwood, CA",$65 - $66 an hour,Data Scientist
10539,"    Cloudleaf, Inc","Milpitas, CA","$150,000 - $300,000 a year",Data Scientist Lead
10559,    TERADEEP INC.,"Campbell, CA","$120,000 - $160,000 a year",STAFF DATA SCIENTIST / DEEP LEARNING
10570,    RC4WD Inc.,"San Jose, CA 95123 (Blossom Valley area)",$15 - $20 an hour,Purchasing/Data Analysis Specialist
10734,    Enterprise Select,"Santa Clara, CA 95050","$150,000 a year","Principal Data Scientist, Sequencing"
10807,    Talent Space Inc,"Menlo Park, CA",$80 an hour,Data Scientist (Local W2 Candidates only)
10811,    Genial Technology,"Silicon Valley, CA","$110,000 - $140,000 a year",Lead Software Engineer - Cloud and Machine Learning
10854,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)",$80 an hour,Data Scientist (Contract-to-Hire)
10878,    SlingShot Connections,"Sunnyvale, CA",$40 - $45 an hour,Data Engineer
10888,    Harnham,"Sunnyvale, CA","$150,000 a year",Deep Learning Data Scientist
10922,    Workbridge Associates,"San Jose, CA 95113 (Downtown area)","$150,000 - $195,000 a year",Senior Data Scientist
10963,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)",$80 - $120 an hour,GPU/Machine Learning Engineer
10972,    Glocomms,"Sunnyvale, CA","$150,000 - $180,000 a year",Machine Learning Engineer/Robotics
11001,    Bay Area Environmental Research Institute,"Moffett Field, CA","$70,000 - $95,000 a year",Drupal Developer in the Earth Science Project Office at NASA...
11055,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$140,000 - $180,000 a year",Machine Learning/Deep Learning Engineer
11056,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$165,000 - $180,000 a year",Machine Learning Engineer
11066,"    Q-Chem, Inc.","Pleasanton, CA 94588",$17 an hour,"Administrative Assistant - Pleasanton, CA"
11089,    Santa Clara Valley Medical Center,"San Jose, CA","$105,165 - $148,073 a year",Assistant Supervising Clinical Laboratory Scientist
11140,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$140,000 - $160,000 a year",Senior Data Scientist
11146,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$140,000 - $180,000 a year",3D Mapping Scientist
11152,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$170,000 - $200,000 a year",Head of Data Science
11175,    Tailored Management,"Santa Clara, CA",$27 - $30 an hour,Scientist
11238,    Steffan & Co.,"Palo Alto, CA","$80,000 - $100,000 a year",Law Librarian/ Research Analyst
11239,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$150,000 - $180,000 a year",Senior Machine Learning Engineer
11279,    Workbridge Associates,"San Jose, CA 95113 (Downtown area)","$160,000 - $200,000 a year",Senior Machine Learning Data Scientist
11288,    Talener,"Santa Clara, CA 95050","$200,000 a year",Senior Manager of Data Analytics
11303,"    eComtics, Inc","Cupertino, CA 95014",$12 an hour,Part Time Marketing Intern
13650,    Workbridge Associates,"Dallas, TX","$80,000 - $100,000 a year",Data Scientist
13690,    Real Time Resolutions Inc.,"Dallas, TX 75247 (Northwest Dallas area)","$30,000 a year",Account Research Analyst
13748,    Themesoft Inc,"Dallas, TX",$50 an hour,"Senior Data Scientist - Dallas,TX"
13760,    Anchor Point Technology Resources,"Dallas, TX","$100,000 a year",District Sales Manager
13781,    Lighthouse Recruiting,"Dallas, TX","$65,000 - $80,000 a year",Certifying Scientist
13804,    Lighthouse Recruiting,"Dallas, TX 75240 (Far North area)","$65,000 - $75,000 a year","Method Development, Clinical Toxicology"
16791,"    Jackson County, Missouri","Kansas City, MO 64106 (Downtown area)",$13.40 an hour,Research Analyst
16793,    Jackson County Department of Corrections,"Kansas City, MO",$13.40 an hour,Research Analyst
16804,    Honeywell,"Kansas City, MO 64147 (Richards Gebaur area)",$21.48 an hour,Electronics Test Inspector (Any Shift)
16809,    Honeywell,"Kansas City, MO 64147 (Richards Gebaur area)",$16.80 an hour,Material Handler
16815,    Honeywell,"Kansas City, KS",$23.36 an hour,"Inspector, Tool & Precision Gage (Any Shift)"
16821,    Honeywell,"Kansas City, KS",$23.36 an hour,Tool & Precision Gage Inspector (Any Shift)
19920,    Rio Hondo College,"Whittier, CA","$5,251 - $6,719 a month",Research Analyst
19925,    TWIM,"Anaheim, CA 92805","$70,000 - $200,000 a year",Deep Learning 딥러닝/ Machine Learning 머신러닝 엔지니어
19953,    Carrington Garrett Executive Search,"Newport Beach, CA","$140,000 - $175,000 a year",Data Scientist
19977,    Coast Community College District,"Huntington Beach, CA","$63,838 - $77,700 a year",Research Analyst - Equity
19996,    Vital Research,"Los Angeles, CA 90048","$50,000 - $60,000 a year",Research Analyst
20004,    USC,"Los Angeles, CA","$55,494 - $92,497 a year",Programmer Analyst II
20010,    USC,"Los Angeles, CA","$82,000 - $105,000 a year",Bioinformatics Programmer
20040,    Calpack Foods,"Torrance, CA 90501",$14 - $16 an hour,Quality Assurance Technician
20046,    University of California - Irvine,"Irvine, CA",$28.56 - $33.69 an hour,Senior Statistician 
20049,    Workbridge Associates,"Irvine, CA","$100,000 - $140,000 a year",Data Scientist
20072,    Seek Business Capital,"Los Angeles, CA 90048","$65,000 - $75,000 a year",Senior Statistician - Credit Cards
20100,    UC Irvine Health,"Orange, CA 92868",$43.13 - $51.53 a day,"Clinical Lab Scientist Specialist, Coagulation - Hematology..."
20107,    UC Irvine Health,"Orange, CA 92868",$45.81 a day,PD Clinical Lab Scientist - Hematology - Per Diem - Days
20114,    Jobspring Partners,"Los Angeles, CA","$140,000 - $180,000 a year",Big Data Engineer
20145,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$7,046 a month",CLINICAL LABORATORY SCIENTIST I (Blood Bank)
20162,    UC Irvine Health,"Orange, CA 92868",$42.01 - $50.20 a day,Clinical Lab Scientist Specialist - Chemistry - F/T - Variab...
20163,    All-In Analytics,"Los Angeles, CA","$150,000 - $180,000 a year",Senior Data Scientist
20171,    University of California - Irvine,"Irvine, CA","$4,969 - $6,756 a month",Senior Clinical Research Analyst 
20176,    HERO.jobs,"Los Angeles, CA","$200,000 a year",Principal Data Scientist
20179,    Swifter,"Los Angeles, CA","$225,000 a year",Director of Data Science
20192,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$5,988 - $6,322 a month",CLINICAL LABORATORY SCIENTIST I (North County)
20193,    Gavin de Becker & Associates,"Beverly Hills, CA","$40,000 - $45,000 a year",Investigations & Research Analyst
20202,    Platinum Enterprise Solutions,"Los Angeles, CA 90001",$50 an hour,Data Scientist / Analyst
20218,    Clout.Com,"Los Angeles, CA 90036","$90,000 - $170,000 a year","Sr Database Dev/Data Scientist (Hadoop,Apache Apex,Kafka,Dri..."
20266,    California State University,"Fullerton, CA","$4,693 - $7,617 a month",STEM Research Grant Developer (Administrative Analyst/Specia...
20273,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$84,336 - $110,616 a year",SUPERVISING CLINICAL LABORATORY SCIENTIST III
20284,    LT,"Los Angeles, CA","$170,000 a year",Senior iOS Developer
20332,    CooperGenomics,"Los Angeles, CA","$50,000 - $80,000 a year",Clinical Laboratory Scientist
20389,    Cal State Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",STEM Research Grant Developer (Administrative Analyst/Specia...
20390,    California State University - Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",STEM Research Grant Developer (Administrative Analyst/Specia...
20400,    Cal State Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",Institutional Large-Scale Research Grant Developer (Administ...
20401,    California State University - Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",Institutional Large-Scale Research Grant Developer (Administ...
23071,    FOXTAIL FOODS,"Cincinnati, OH 45246","$85,000 a year",Food Scientist
23113,    Oak Ridge Associated Universities,"Cincinnati, OH 45212 (Pleasant Ridge area)",$21.11 an hour,Drinking Water Engineer at EPA
23124,    Oak Ridge Associated Universities,"Cincinnati, OH 45212 (Pleasant Ridge area)",$21.11 an hour,Modeling Engineer at EPA
23131,    Branford Search Consultants,"Florence, KY","$90,000 - $105,000 a year",Senior Alcohol Beverage Applications Scientist
26211,    University of Arizona,"Tucson, AZ","$52,000 a year",Assistant Research Scientist
26214,    University of Arizona,"Tucson, AZ","$49,000 - $65,000 a year",Research Administrator (Multiple Positions)
26216,    Department of the Navy,"Tucson, AZ","$49,765 - $161,900 a year",MANAGEMENT/PROGRAM ANALYST
26217,    University of Arizona,"Tucson, AZ","$50,000 - $55,000 a year","Research Analyst, Data"
26219,    Children's Museum Tucson,"Tucson, AZ 85701",$12.50 an hour,STEM Specialist
26221,    University of Arizona,"Tucson, AZ","$47,659 a year",Postdoctoral Research Associate
26223,    University of Arizona,"Tucson, AZ","$27,000 a year","Research Intern, CTS Program (Multiple Positions) (Phoenix,..."
26227,    University of Arizona,"Tucson, AZ",$9.02 - $11.00 an hour,"Wildlife Biologist, Assistant (Temporary)"
26228,    University of Arizona,"Tucson, AZ","$50,000 a year",Laboratory Manager
26242,    University of Arizona,"Tucson, AZ",$9.45 - $12.84 an hour,"Research/Laboratory Assistant, Basic Medical Sciences (Phoen..."
26243,    University of Arizona,"Tucson, AZ","$33,320 a year",Associate Research Scientist (Part Time)
26244,    University of Arizona,"Tucson, AZ","$42,000 - $57,000 a year","Coordinator, Research Administration (Phoenix, AZ)"
26258,    University of Arizona,"Tucson, AZ","$47,500 - $60,000 a year","Clinical Research Coordinator, Senior (Multiple Positions)(P..."
26264,    University of Arizona,"Tucson, AZ",$10.82 - $15.06 an hour,"Research Technician, Basic Medical Sciences (Phoenix, AZ)"
26265,    University of Arizona,"Tucson, AZ","$31,125 - $42,843 a year","Research Specialist, (Data Analyst and Faculty Program Assis..."
26270,    University of Arizona,"Tucson, AZ","$38,200 - $53,000 a year","Accountant, Senior (Phoenix, AZ)"
26271,    University of Arizona,"Tucson, AZ","$31,125 - $42,843 a year","Research Specialist, Pulmonary and Endothelial Research Labo..."
26273,    University of Arizona,"Tucson, AZ","$48,645 - $74,251 a year","Accounting Manager (Phoenix, Arizona)"
26276,    University of Arizona,"Tucson, AZ","$46,329 - $70,715 a year","Research Nurse, Senior"
29353,    Pikes Peak Community College,"Colorado Springs, CO","$4,708 a month","Data and Research Analyst, Institutional Effectiveness"
29356,    Synergist Medical Management,"Colorado Springs, CO","$50,000 - $60,000 a year",Certifying Scientist-LC/MS Key Operator
29358,    Department of the Air Force,"Peterson AFB, CO","$40,033 - $52,043 a year",Operations Research Analyst (EHA-ACQ-DAWDF)
32494,    Piper Companies,"Raleigh, NC 27612 (Northwest area)","$90,000 - $130,000 a year",Data Scientist
32495,    ITS Technologies,"Raleigh, NC","$150,000 a year",Data Scientist
32496,"    Sente Data Science, LLC","Cary, NC","$80,000 - $110,000 a year",Data Scientist
32499,    Piper Companies,"Raleigh, NC 27613 (Northwest area)","$105,000 - $130,000 a year",Data Scientist / Machine Learning
32501,    Piper Companies,"Raleigh, NC 27617 (Central area)","$90,000 - $120,000 a year",Data Analyst
32504,    Piper Companies,"Morrisville, NC 27560",$55 - $65 an hour,Statistical Programmer
32510,    University of North Carolina,"Chapel Hill, NC 27517","$34,997 - $56,471 a year",Soc/Clin Research Specialist
32520,    Piper Companies,"Research Triangle Park, NC 27709",$70 - $90 an hour,Contract Statistician
32527,    All-In Analytics,"Raleigh, NC","$155,000 - $215,000 a year","Director Data Scientist, Product"
32536,    Strivector,"Morrisville, NC","$170,000 a year",Senior Data Scientist – Machine Learning
32546,    Seqirus A CSL Company,"Holly Springs, NC","$94,661 - $109,000 a year",Statistician II (Job Code: GR0218)
32572,    Piper Companies,"Durham, NC 27709",$25 - $35 an hour,HPLC Scientist
32589,    North Carolina State University,"Raleigh, NC","$31,888 - $54,002 a year",Business Services Coordinator
32629,    DOCS Global,"Raleigh-Durham, NC","$140,000 - $160,000 a year",Home-based Clinical Drug Development Scientist - Hematology/...
32639,    Hunter International,"Research Triangle Park, NC",$34 an hour,Bioinformatics Scientist
32640,    DISYS (Digital Intelligence SYStems Pvt. Ltd.),"Raleigh, NC",$22 an hour,Research/Remediation Analyst
32659,    Hunter International,"Research Triangle Park, NC",$29 an hour,Associate Scientist 3865
35640,    Department of the Army,"Tripler Army Medical Center, HI","$56,770 - $72,073 a year",Medical Technologist
38804,    Lighthouse Recruiting,"Milwaukee, WI 53212 (Harambee area)","$60,000 - $80,000 a year",Certifying Scientist / Toxicology
38814,    ITStaff Technical Resources,"Milwaukee, WI",$90 - $95 a day,Oracle IT Analyst
41932,    Agile Enterprise Solutions Inc,"Las Vegas, NV","$120,000 - $160,000 a year",Data Scientist
41937,    Ovation Fertility,"Henderson, NV","$60,000 - $75,000 a year",Genetic/Molecular Technologist
41939,    Sable Systems International,"Las Vegas, NV","$125,000 - $150,000 a year",Chief Operating Officer
48245,"    ECL & Associates, Inc","Jacksonville, FL","$30,000 - $35,000 a year",Market Research Analyst
51366,    Johns Hopkins University Bloomberg School of Publi...,"Baltimore, MD 21231 (Fells Point area)","$80,000 - $100,000 a year",Assistant Scientist
51371,    Johns Hopkins University,"Baltimore, MD","$43,871 - $60,402 a year",Research Data Analyst
51385,    Johns Hopkins University,"Baltimore, MD","$50,956 - $70,095 a year",Sr. Research Data Analyst
51398,    National Security Agency,"Fort Meade, MD","$79,334 - $105,663 a year",Data Scientist - Mid-Level
51411,    Johns Hopkins University,"Baltimore, MD","$43,871 - $60,402 a year",Sr. Research Specialist
51414,    Johns Hopkins University,"Baltimore, MD","$50,956 - $70,095 a year",Biostatistician
51416,    National Aeronautics and Space Administration,"Greenbelt, MD","$94,796 - $145,629 a year","Research Physical Scientist, AST, Atmospheric Chemistry and..."
51431,    Johns Hopkins University,"Baltimore, MD","$42,256 - $58,041 a year",Surgical Training Center Coordinator
51434,"    Intersect Healthcare, Inc.","Lutherville-Timonium, MD",$15 - $20 an hour,Health Law and Policy Research Analyst
51443,    Johns Hopkins University,"Baltimore, MD","$43,871 - $60,402 a year",Research Analyst/Study Coordinator
51446,    Howard Community College,"Columbia, MD","$46,332 a year",Research Analyst
51457,    Johns Hopkins University,"Baltimore, MD","$41,427 - $56,903 a year",Research Service Analyst
51465,    Johns Hopkins University,"Baltimore, MD","$59,159 - $81,406 a year",Sr. Biostatistician
51471,    WSSC,"Laurel, MD 20707","$75,515 - $115,278 a year",Principal Environmental Engineer
51481,    Johns Hopkins University,"Baltimore, MD","$57,544 - $79,047 a year",Sr. Financial Analyst
51488,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Mathematicians - Entry/Mid-Level
51489,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Mathematical Statisticians - Entry/Mid-Level
51503,    Johns Hopkins University,"Baltimore, MD","$59,159 - $81,406 a year",Sr. Technical Laboratory Manager
51525,    On-Board Services,"Sparks, MD",$15 an hour,Associate Scientist
51536,    Johns Hopkins University,"Baltimore, MD","$48,251 - $66,407 a year",Sr. Research Service Analyst
51552,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Software Engineer - Entry/Mid-Level
51578,    Fawkes IDM,"Fort Meade, MD","$100,000 - $140,000 a year",PeopleSoft Developer with TS/SCI FSP Required
51598,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Cryptologic Computer Scientist - Computer Development Progra...
2,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year",Computational Scientist
10,    Rice University,"Houston, TX","$40,800 - $79,100 a year",Research Scientist
20,    MD Anderson Cancer Center,"Houston, TX","$42,400 - $63,600 a year",Data Analyst- Immunology
24,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst - Biostatistics
25,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst
28,    MD Anderson Cancer Center,"Houston, TX","$45,500 - $82,000 a year",Research Admin Analyst
31,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst -Bioinformatics & Computational...
53,"    Earl Carl Institute for Legal & Social Policy, Inc...","Houston, TX","$20,000 - $25,000 a year",Part Time Academic Research and Writing Policy Analyst Posit...
56,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Neuro-Oncology - Research
57,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Molecular & Cellular Oncology
58,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Thoracic H&N Med Oncology - Research
59,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year","Research Scientist, Experimental Radiation Oncology"
65,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Institute Associate Scientist II - In Vivo Pharmacology
67,    MD Anderson Cancer Center,"Houston, TX","$25,200 - $51,500 a year",Institute Associate Scientist I – Medicinal Chemistry
73,    Adecco: USA,"Spring, TX",$55 an hour,Data Analyst Oil and Gas Market Research Experience
80,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Institute Associate Scientist II – Protein Production
87,    MD Anderson Cancer Center,"Houston, TX","$62,500 - $94,000 a year",Institute Assoc Scientist III - Neurodegeneration Consort
104,    MD Anderson Cancer Center,"Houston, TX","$38,000 - $57,000 a year",Senior Research Assistant - Neurosurgery Research
119,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","Research Programmer - Genetics, next generation sequencing (..."
131,    MD Anderson Cancer Center,"Houston, TX","$95,000 - $142,000 a year",Institute Research Scientist - Translational Biology
141,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year","Sr Systems Analyst, Quantitative Research Computing - C #, A..."
147,    Oscar Technology,"Houston, TX","$200,000 - $300,000 a year",Head of Engineering - Accounting Platform
151,    The University of Texas Medical Branch,"League City, TX","$53,600 - $80,400 a year",Medical Lab Scientist
170,    MD Anderson Cancer Center,"Houston, TX","$125,000 - $187,000 a year","Principal Institute Research Scientist - Drug Discovery, Bio..."
3146,    Metropolitan Police Department,"Washington, DC","$76,082 - $97,340 a year",Data Scientist
3169,    Central Intelligence Agency,"Washington, DC","$62,338 - $119,794 a year",Data Scientist
3179,    Piper Companies,"Reston, VA 20190","$200,000 - $220,000 a year",Data Scientist
3208,    Interface Financial Group (IFG),"Bethesda, MD","$120,000 a year",IFG Data Scientist Whiz!
3216,    Centers for Disease Control and Prevention,"Washington, DC","$90,023 - $150,349 a year",Health Scientist
3222,    National Geospatial-Intelligence Agency,"Springfield, VA","$52,329 - $129,553 a year",Data Scientist
3230,    Central Intelligence Agency,"Washington, DC",$21.44 - $25.84 an hour,Undergraduate Internship/Co-op Program - Data Scientist
3264,"    Eagle Technologies, Incorporated","Arlington, VA 22209 (Radnor-Ft Myer Heights area)","$50,000 - $89,000 a year",Data/Research Analyst
3273,    Department of the Treasury,"Washington, DC","$94,796 - $123,234 a year",Operations Research Analyst
3289,"    Innovative, Information, and Intelligence Solution...","Bethesda, MD","$145,000 - $160,000 a year",Data Scientist TS/SCI with CI Poly
3292,    Federal Aviation Administration,"Washington, DC","$97,825 a year",Operations Research Analyst
3330,    National Security Agency,"Fort Meade, MD","$79,334 - $105,663 a year",Data Scientist - Mid-Level
3344,    Central Intelligence Agency,"Washington, DC","$53,088 - $92,814 a year",Analytic Methodologist
3347,    PeopleTek,"Bethesda, MD","$60,000 - $70,000 a year",Statistical Data Analyst - US Citizen
3348,    U.S. Federal Government,"Bethesda, MD","$54,972 - $103,639 a year",Statistician (Health) DEU
3356,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$44,941 - $86,460 a year","Recent Graduate Statistician, GS-1529-7/9/11, (Public Notice..."
3365,    Piper Companies,"Reston, VA 20190","$190,000 - $200,000 a year",Senior Data Engineer
3368,    Piper Companies,"Reston, VA 20190","$200,000 - $220,000 a year",Senior Data Scientist
3372,    U.S. Federal Government,"Woodlawn, MD","$66,510 - $103,639 a year",Social Science Research Analyst
3375,    National Aeronautics and Space Administration,"Greenbelt, MD","$94,796 - $145,629 a year","Research Physical Scientist, AST, Atmospheric Chemistry and..."
3392,    Georgetown University Medical Center,"Washington, DC 20007 (Georgetown area)","$55,000 - $70,000 a year",Research Fellow - Quality of Medical Products
3402,    Compri,"Washington, DC 20036 (Downtown area)","$110,000 a year","Data Scientist, Machine Learning (Perm - DC)"
3407,    Department of Defense,"Arlington, VA","$112,021 - $145,629 a year",Operations Research Analyst
3410,    The Maryland-National Capital Park and Planning Co...,"Silver Spring, MD 20902","$58,556 - $100,394 a year","Real Estate and Urban Planning Research Analyst (12726, Grad..."
3417,    Venturi Ltd,"Washington, DC 20007 (Georgetown area)","$90,000 - $125,000 a year",Data Scientist ( Chinese Speaking / Deep Learning / NLP / AI...
3436,    Department of Homeland Security,"Washington, DC 20005 (Logan Circle area)","$112,021 - $161,900 a year",Attorney Advisor (NPPLD/IP)
3443,    Department of Health,"Washington, DC","$110,621 - $154,869 a year",Supervisory Statistician
3444,    National Aeronautics and Space Administration,"Greenbelt, MD","$94,796 - $145,629 a year","Research Space Scientist, AST, Planetary Studies"
3503,    Department of the Interior,"Reston, VA","$54,972 - $103,639 a year","Physical Scientist, GS-1301-09/11/12 (DEU - EC)"
3528,    Natural Resources Defense Council,"Washington, DC",$15 an hour,Facilities Intern
3546,    Red Gate Group,"Arlington, VA","$100,000 - $125,000 a year",Data Scientist - OUSD(I)-HCMO-DCIPS
3574,    Strategic Data Systems,"Bethesda, MD 20817","$130,000 a year",Senior Software Engineer
3576,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$112,021 - $145,629 a year","Survey Statistician, GG-1530-14, Census-DOC-PB"
3577,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$112,021 - $145,629 a year","Survey Statistician, GG-1530-14, Census-DE-PB"
3648,    U.S. Federal Government,"Arlington, VA","$163,519 - $179,600 a year","Deputy Division Director, Division of Human Resource Managem..."
3656,    Qlaire Systems Inc.,"Washington, DC","$150,000 a year",Big Data Cloud Architect
3675,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$79,720 - $123,234 a year","Interdisciplinary, GS-0101,0180,0801,1550-12/13, Census-DE-S..."
3695,"    NCI, Epidemiology and Genomics Research Program","Rockville, MD","$35,500 - $47,900 a year",Fellow for Clinical Epidemiology
3708,    Strategic Data Systems,"Bethesda, MD 20817","$120,000 a year",Senior Network Engineer
3718,    Department of Health And Human Services,"Rockville, MD","$79,720 - $123,234 a year",Staff Fellow (Mathematical Statistician)
3768,    WSSC,"Laurel, MD 20707","$75,515 - $115,278 a year",Environmental Scientist - Water Resources Management
3786,    Central Intelligence Agency,"Washington, DC","$58,638 - $123,234 a year",Apps Developer
3795,    Workbridge Associates,"Washington, DC","$175,000 - $225,000 a year",Machine Learning / AI Practice Lead
3801,    Department of Commerce,"Suitland, MD","$131,767 - $161,900 a year",Supervisory Physical Scientist ZP-1301-05 (DE/CR)
3804,    NatureServe,"Arlington, VA","$70,000 - $75,000 a year",Software Engineer
3869,    WSSC,"Laurel, MD 20707","$75,515 - $115,278 a year",Principal Environmental Engineer
3882,    Jobspring Partners,"Washington, DC","$100,000 - $150,000 a year",Data Scientist
3888,    digiBlitz Inc,"Herndon, VA","$35,000 - $50,000 a year",Embedded Engineer Intern
3897,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Mathematicians - Entry/Mid-Level
3898,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Mathematical Statisticians - Entry/Mid-Level
3900,    Jobspring Partners,"Washington, DC","$100,000 - $130,000 a year",Java/Big Data Engineer
3917,    Department of Commerce,"Alexandria, VA","$79,720 - $103,639 a year",Supervisory Paralegal Specialist
3952,    digiBlitz Inc,"Herndon, VA","$35,000 - $50,000 a year",Software Engineer Intern
4008,"    Total Environmental Concepts, Inc.","Springfield, VA","$40,000 - $45,000 a year",Environmental Technician/Scientist
4016,    Department of Commerce,"Alexandria, VA","$131,767 - $161,900 a year",Supervisory IT Specialist (SYSANALYSIS/APPSW) -Branch Chief...
4019,    Jobspring Partners,"Washington, DC","$100,000 - $150,000 a year",Data Analyst
5455,    HireStrategy,"Washington, DC 20005 (Logan Circle area)",$50 - $60 an hour,Senior Java Developer
6305,    City of Tempe Arizona,"Tempe, AZ","$53,676 - $72,463 a year",Police Research & Data Analyst I/II+
6316,"    Kennedy Unlimited Inc, Professional Staffing","Phoenix, AZ","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
6319,    State of Arizona,"Phoenix, AZ","$45,000 - $65,000 a year",ENVIRONMENTAL OUTREACH SPECIALIST
6325,    Arizona State University,"Tempe, AZ","$34,560 - $38,500 a year",Academic Success Specialist
6327,    Maricopa County Community College District,"Phoenix, AZ","$50,958 - $60,512 a year",Institutional Research Analyst (Open until Filled)
6328,    Arizona Health Care Cost Containment System,"Phoenix, AZ","$39,983 - $55,500 a year",RESEARCH AND STATISTICAL ANALYST
6329,    State of Arizona,"Phoenix, AZ","$50,000 a year",Public Health Scientist / Chemist
6333,    SiteLock,"Scottsdale, AZ","$50,000 - $55,000 a year",Web Security Research Analyst
