,company,location,salary,summary,title,float_salary
147660,"UNM Medical Group, Inc.","Albuquerque, NM 87106 (University Hts area)",$17.16 an hour,"Through its partnership with the New Mexico Cancer Care Alliance, an 'exemplary national model for cancer health care delivery', the UNM CCC offers access to...",Medical Coding Analyst 1,35692.8
150706,JSP Recruitment Services,"Dearborn, MI","$87,400 - $112,000 a year",Provides oversight/senior support to projects and may simultaneously manage one or more research project(s). Provides instruction in basic actuarial methods and...,Senior Statistical Modeler,99700.0
150725,All-In Analytics,"Dearborn, MI","$87,000 - $112,000 a year","Analysis of technical studies and data and draw sound conclusions. Assists management and actuarial team in improving methods, analysis and data gathering...",Statistician,99500.0
150726,Wayne State University,"Detroit, MI","$45,000 a year","This position is available to a well-qualified, highly motivated and dynamic young scientist who wishes to enhance his/her scientific career in a friendly and...",Postdoctoral Research Associate,45000.0
150776,Stratitude Inc,"Dearborn, MI 48120",$43 - $46 an hour,"This position is ideal for the multi-faceted individual who has experience as a Business Analyst, Solution Architect, and Project Manager, and is interested in...","Specialty Development, Business Analysis - Big Data #018mp",92560.0
153818,Rio Hondo College,"Whittier, CA","$5,251 - $6,719 a month","Advanced skills in data analysis and visualization techniques including use of statistical and related software, graphics, etc....",Research Analyst,71820.0
153825,Vital Research,"Los Angeles, CA 90048","$50,000 - $60,000 a year",Coordinate and manage project tasks and activities. Research Analyst supports our team by working on numerous research and evaluation projects across several...,Research Analyst,55000.0
153829,TWIM,"Anaheim, CA 92805","$70,000 - $200,000 a year",Deep Learning 딥러닝/ Machine Learning 머신러닝 엔지니어 모집 0명*. 딥러닝을 이용하여 반도체/Display 검사공정 영상처리 S/W 개발....,Deep Learning 딥러닝/ Machine Learning 머신러닝 엔지니어,135000.0
153864,ANRE Technologies Inc.,"Pasadena, CA","$80,000 - $160,000 a year","Track record of collaboration with scientists, researchers, or other non-computer-science stakeholders. Demonstrated ability to lead a team of coders, prototype...","Software Engineer/Data Scientist, C/C++, Python in a Linux e...",120000.0
153882,USC,"Los Angeles, CA","$55,494 - $92,497 a year","This role involves close collaboration with a multi-disciplinary team of clinicians, computer scientists, mathematicians, statisticians, and economists to...",Programmer Analyst II,73995.5
153890,Clout.Com,"Los Angeles, CA 90036","$90,000 - $170,000 a year","Perform data mining, data cleansing, data manipulation functions, caching, and indexing functions. Designing, optimizing, testing, deploying, and stabilizing...","Sr Database Dev/Data Scientist (Hadoop,Apache Apex,Kafka,Dri...",130000.0
153893,USC,"Los Angeles, CA","$82,000 - $105,000 a year","The candidate must possess excellent oral and written communication skills and be capable of working well in a team-based environment, where regular interaction...",Bioinformatics Programmer,93500.0
153899,Los Angeles County Department of Human Resources,"Los Angeles, CA","$57,274 - $71,152 a year","Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets...","RESEARCH ANALYST II, BEHAVIORAL SCIENCES",64213.0
153918,Odesus,"Pasadena, CA 91101",$50 - $80 a day,"Python, C, C++, developer, engineer, data, science, Linux, aerospace, SIMD, MIMD, MISD, Matlab, Perl, unit, regression, testing, git, svn....",Data Scientist,16900.0
153955,Gavin de Becker & Associates,"Beverly Hills, CA","$40,000 - $45,000 a year","Review, identify, and analyze trends and inconsistencies in reporting and research findings. Conduct internet research, as needed, to acquire more information...",Investigations & Research Analyst,42500.0
153960,Calpack Foods,"Torrance, CA 90501",$14 - $16 an hour,"Together with suppliers, customers and the expertise of food scientists, we help customers to grow and succeed by applying our insights and years of experience...",Quality Assurance Technician,31200.0
153975,MACP Los Angeles,"Los Angeles, CA","$185,000 a year",We are looking for a Senior Data Scientist with experience applying state of the art machine learning algorithms to massive data sets.Some of the projects that...,Computer Vision Data Scientist,185000.0
153998,Los Angeles County Department of Human Resources,"Los Angeles, CA","$7,046 a month",Blood bank and a valid and current license to practice as a Clinical Laboratory Scientist issued by the State of California Department of Public Health**....,CLINICAL LABORATORY SCIENTIST I (Blood Bank),84552.0
154001,Smith Hanley Associates,"Calabasas, CA","$100,000 - $140,000 a year",Data Scientist Responsibilities:. Expert in data mining and marketing analytics. Monitors analytics to leverage insights for future marketing interactions....,Data Scientist,120000.0
154024,Seek Business Capital,"Los Angeles, CA 90048","$65,000 - $75,000 a year","Good knowledge of SQL, Hive, SAS, and/or other data processing languages (SAS 4GL is preferable, knowledge of R is a plus)....",Senior Statistician - Credit Cards,70000.0
154029,All-In Analytics,"Los Angeles, CA","$150,000 - $180,000 a year","SQL, Perl, Python, VB, Java Must be well-organized, have strong written and oral communication skills, and be able to work well within a team Extensive...",Senior Data Scientist,165000.0
154034,LT,"Los Angeles, CA","$225,000 a year","There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. _Your benefits are all top of the line including 100%...",Mobile Director,225000.0
154035,Swifter,"Los Angeles, CA","$225,000 a year",Recruiting data scientists to join our existing team and building Swifter's brand within the data science community....,Director of Data Science,225000.0
154054,HERO.jobs,"Los Angeles, CA","$200,000 a year",They need a Lead or Principal level Data Scientist who is an expert with Neural Networks and Machine Learning to work with a talented team based near Culver...,Principal Data Scientist,200000.0
154057,Platinum Enterprise Solutions,"Los Angeles, CA 90001",$50 an hour,"Effectively collaborating with cross-functional teams (Product, Marketing, Content, etc) to understand various needs and generate valuable and accurate data...",Data Scientist / Analyst,104000.0
154126,TriFoil Imaging,"Chatsworth, CA 91311","$75,000 - $105,000 a year","Develop depth of knowledge by reading scientific and technical literature. Knowledge in detailed observations, data and process analysis....","Application Scientist, Pre-Clinical",90000.0
154151,Los Angeles County Department of Human Resources,"Los Angeles, CA","$76,804 - $100,726 a year","Clinical Laboratory Scientist, Limited Clinical Laboratory Scientist, Clinical Microbiologist Scientist License, or Public Health Microbiologist Certificate...","MEDICAL TECHNOLOGIST, LABORATORY INFORMATION SYSTEMS",88765.0
154193,Los Angeles County Department of Human Resources,"Los Angeles, CA","$84,336 - $110,616 a year",Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...,SUPERVISING CLINICAL LABORATORY SCIENTIST III,97476.0
154286,Cal State Fullerton,"Fullerton, CA","$4,693 - $7,617 a month","Ability to manage concurrent priorities effectively and efficiently. If you are applying for a staff position, please note that you are not eligible to work...",STEM Research Grant Developer (Administrative Analyst/Specia...,73860.0
154287,California State University - Fullerton,"Fullerton, CA","$4,693 - $7,617 a month","Ability to manage concurrent priorities effectively and efficiently. If you are applying for a staff position, please note that you are not eligible to work...",STEM Research Grant Developer (Administrative Analyst/Specia...,73860.0
154306,Lighthouse Recruiting,"Pasadena, CA","$80,000 - $110,000 a year",Established and expanding clinical toxicology laboratory seeking to add an experienced LC/MS Clinical Laboratory Scientist to their team....,LC/MS Clinical Laboratory Scientist,95000.0
154339,Cal State Fullerton,"Fullerton, CA","$4,693 - $7,617 a month","Broad knowledge of the federal research enterprise, as well as the economic and global trends, in areas relevant to CSU Fullerton....",Institutional Large-Scale Research Grant Developer (Administ...,73860.0
154341,California State University - Fullerton,"Fullerton, CA","$4,693 - $7,617 a month","Broad knowledge of the federal research enterprise, as well as the economic and global trends, in areas relevant to CSU Fullerton....",Institutional Large-Scale Research Grant Developer (Administ...,73860.0
156948,University of Arizona,"Tucson, AZ","$52,000 a year","Analyze clinical or survey data using systems biology techniques to consolidate proteomics, genomics and transcriptomics data and construct interaction networks...",Assistant Research Scientist,52000.0
156951,University of Arizona,"Tucson, AZ","$50,000 - $55,000 a year","Create and manage databases for studies including setting up database and associated data entry programs, retrieving data from database for purposes of analyses...","Research Analyst, Data",52500.0
156953,Department of the Navy,"Tucson, AZ","$49,765 - $161,900 a year","From pipefitters to accountants, scientists to engineers, doctors to nurses-the careers and opportunities to make a difference are endless....",MANAGEMENT/PROGRAM ANALYST,105832.5
156955,University of Arizona,"Tucson, AZ","$47,659 a year",Assist in coordinating the scientific publication output of the research team. Download and analyze on-line data....,Postdoctoral Research Associate,47659.0
156956,University of Arizona,"Tucson, AZ","$49,000 - $65,000 a year","Outstanding UA benefits include health, dental, and vision insurance plans; The Observatory, driven by a group of world renowned faculty and scientists, covers...",Research Administrator (Multiple Positions),57000.0
156959,University of Arizona,"Tucson, AZ","$60,000 - $80,000 a year",The University of Arizona Cancer Center in association with Dignity Health recently opened a new clinical facility and a new research building is under...,"Laboratory Manager, Pulmonary and Endothelial Research (Phoe...",70000.0
156969,Children's Museum Tucson,"Tucson, AZ 85701",$12.50 an hour,Tracking data for grant reporting. Please send letter and resume (including professional references) through Indeed or mail to:....,STEM Specialist,26000.0
156973,University of Arizona,"Tucson, AZ",$22.51 an hour,"Assistance with project management, including the development of data (collection, analysis, visualization, curation, etc.)....",Laboratory Manager (Part Time/Temporary),46820.8
156974,University of Arizona,"Tucson, AZ","$33,320 a year","Outstanding UA benefits include health, dental, and vision insurance plans; Additional duties include management of general laboratory operations, the training...",Associate Research Scientist (Part Time),33320.0
156975,University of Arizona,"Tucson, AZ","$42,000 - $57,000 a year","We embrace professionalism, innovation and collaboration to optimize health and health care for all. Outstanding UA benefits include health, dental, and vision...","Coordinator, Research Administration (Phoenix, AZ)",49500.0
156982,University of Arizona,"Tucson, AZ","$46,329 - $70,715 a year","The University of Arizona is seeking a full-time Research Nurse, Senior to oversee and conduct clinical trials in our Clinical Research Unit....","Research Nurse, Senior",58522.0
156986,University of Arizona,"Tucson, AZ","$47,500 - $60,000 a year","The Senior Clinical Research Coordinator will demonstrate competence in clinical research skills, problem-solving, priority setting and serve as a resource for...","Clinical Research Coordinator, Senior (Multiple Positions)(P...",53750.0
156987,University of Arizona,"Tucson, AZ","$60,000 - $80,000 a year","This team member will assist in the development and successful execution of clinical trials for which the University of Arizona serves as a sponsor, from...","Clinical/Research Nurse, OB/GYN (Phoenix, AZ)",70000.0
156989,University of Arizona,"Tucson, AZ",$9.45 - $12.84 an hour,"We embrace professionalism, innovation and collaboration to optimize health and health care for all. Outstanding UA benefits include health, dental, and vision...","Research/Laboratory Assistant, Basic Medical Sciences (Phoen...",23181.6
157000,University of Arizona,"Tucson, AZ",$10.82 - $15.06 an hour,The University of Arizona Cancer Center in association with Dignity Health recently opened a new clinical facility and a new research building is under...,"Research Technician, Basic Medical Sciences (Phoenix, AZ)",26915.2
157003,University of Arizona,"Tucson, AZ","$38,200 - $53,000 a year","We embrace professionalism, innovation and collaboration to optimize health and health care for all. Outstanding UA benefits include health, dental, and vision...","Accountant, Senior (Phoenix, AZ)",45600.0
157006,University of Arizona,"Tucson, AZ","$31,125 - $42,843 a year",The University of Arizona Cancer Center in association with Dignity Health recently opened a new clinical facility and a new research building is under...,"Research Specialist, Pulmonary and Endothelial Research Labo...",36984.0
157019,University of Arizona,"Tucson, AZ","$48,645 - $74,251 a year","We embrace professionalism, innovation and collaboration to optimize health and health care for all. Outstanding UA benefits include health, dental, and vision...","Accounting Manager (Phoenix, Arizona)",61448.0
160089,Piper Companies,"Raleigh, NC 27607 (Northwest area)",$60 - $90 an hour,"The Data Scientist will be in charge of data management, data organization, data modeling, and data analytics....",Data Scientist,156000.0
160090,ITS Technologies,"Raleigh, NC","$150,000 a year","Ability to collaborate effectively with business stakeholders, performance consultants, data scientists, and other data engineers....",Data Scientist,150000.0
160091,"Sente Data Science, LLC","Cary, NC","$80,000 - $110,000 a year","Excellent understanding of data science and machine learning techniques and algorithms. Sente Data Science is seeking a Data Scientist for our team in Cary,...",Data Scientist,95000.0
160094,Piper Companies,"Raleigh, NC 27617 (Central area)","$90,000 - $120,000 a year","Use Python and R as well as other tools to provide ETL, Data Cleansing and Data Mining of large, complex data sets derived from multiple sources....",Data Analyst,105000.0
160096,Piper Companies,"Raleigh, NC 27613 (Northwest area)","$105,000 - $130,000 a year",Data Scientist - Machine Learning. Piper Enterprise Solutions is seeking a Data Scientist with machine learning experience to join a growing bioinformatics...,Data Scientist / Machine Learning,117500.0
160103,Piper Companies,"Research Triangle Park, NC 27709",$70 - $90 an hour,Company Statisticians will work independently interface directly with 2 to 3 clients as their statistical analysis subject matter expert....,Contract Statistician,166400.0
160117,University of North Carolina,"Chapel Hill, NC 27517","$34,997 - $56,471 a year","Radiation oncology is a highly-integrated, multidisciplinary medical specialty involving close interactions between physicians, physicists and dosimetrists,...",Soc/Clin Research Specialist,45734.0
160123,Strivector,"Morrisville, NC","$170,000 a year","Senior Data Scientist – Machine Learning*. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....",Senior Data Scientist – Machine Learning,170000.0
160140,University of North Carolina,"Chapel Hill, NC 27517","$30,206 - $35,000 a year","The CDS is inter-institutional and its faculty consists primarily of scientists from Duke University, University of North Carolina at Chapel Hill, Meredith...",Research Assistant,32603.0
160142,Seqirus A CSL Company,"Holly Springs, NC","$94,661 - $109,000 a year",See below JOB TITLE: Statistician II (Job Code: GR0218) DETAILS: Provide statistical expertise to drive the application of advanced and state-of-the-art...,Statistician II (Job Code: GR0218),101830.5
160159,LifeScale Analytics,"Raleigh-Durham, NC","$140,000 a year",The function of the Hadoop Integration Data Scientist is to provide deep big data technical expertise in testing and Hail implementation within the Hadoop...,Hadoop Integration Data Scientist,140000.0
160184,Hunter International,"Research Triangle Park, NC",$29 an hour,"Analyzes data and prepares reports, upon request. Nucleic acid isolation and next generation sequencing library construction Compiles data and records results....",Associate Scientist 3865,60320.0
160186,North Carolina State University,"Raleigh, NC","$31,888 - $54,002 a year","Administered by the College of Natural Resources ( CNR ), the Center is playing a leadership role in decision-support analytics through cutting-edge research...",Business Services Coordinator,42945.0
160237,Piper Companies,"Durham, NC 27709",$25 - $35 an hour,Responsibilities for the HPLC Scientist include:. Please send resumes to achu@pipercompanies.com. Evaluate data for large molecules in different dosage forms....,HPLC Scientist,62400.0
160264,Hunter International,"Research Triangle Park, NC",$34 an hour,"At our site in the Research Triangle Park in North Carolina, we are seeking Bioinformatics scientists within the Integrated Trait Knowledge Function....",Bioinformatics Scientist,70720.0
160267,Hunter International,"Research Triangle Park, NC",$20 an hour,"Work will be conducted under direct supervision of research scientists within Global Insecticide Research. $20/hr (Benefits – health, dental, vision)....",Biologist / Entomologist,41600.0
163237,First Derivatives,"New York, NY 10022 (Midtown area)","$70,000 - $80,000 a year","Data Scientists explore vast amounts of information to detect patterns, trends and correlations that enable businesses to improve their products, services and...",Data Scientist,75000.0
163258,MetroPlus Health Plan,"New York, NY","$90,000 - $115,000 a year","MetroPlus Health Plan provides the highest quality healthcare services to residents of Bronx, Brooklyn, Manhattan, Queens and Staten Island through a...",Data Scientist,102500.0
163282,Enterprise Select,"New York, NY 10005 (Financial District area)","$185,000 a year","As a candidate, you can expect to use predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to extract insights...",Data Scientist,185000.0
163308,"XG Consultants Group, Inc.","New York, NY 10017 (Midtown area)",$15 an hour,"Monitor our presence on the Internet through analysis of Google analytics, etc. Candidate should be a strong Internet researcher with excellent writing and...",Entry Level – Research Analyst/Editor/Content Marketing Spec...,31200.0
163340,A Priori Investment Management LLC,"New York, NY 10016 (Gramercy area)","$125,000 - $175,000 a year","Superior programming in Java/C++/Python and some exposure to machine learning and optimization techniques. Explore complex, unorthodox, and unstructured data...",Quantitative Analyst,150000.0
163349,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",$38.47 - $44.24 an hour,The Bureau of Systems Strengthening and Access (BSSA) within the Mental Health Division of the New York City Department of Health and Mental Hygiene drives...,"Data Specialist, Bureau of Systems Strengthening and Access",86018.4
163355,"Kennedy Unlimited Inc, Professional Staffing","New York, NY","$130,000 - $140,000 a year",4 plus years of current projects involving predictive analytics and hands-on machine learning techniques. Use your current research and analysis skills to apply...,Predictive Analytics (Machine Learning),135000.0
163357,DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY",$38.47 - $47.78 an hour,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...","Data Analyst, Bureau of Immunization/Immunization Surveillan...",89700.0
163371,Stony Brook University,"Stony Brook, NY","$52,000 - $62,000 a year","The six Health Sciences schools — Dental Medicine, Health Technology and. Compliant data analysis. Biostatistics and data management;...",Data Manager/Statistician,57000.0
163397,Geode Executive Search,"New York, NY","$130,000 a year",A well-known tech company in New York is looking to hire a Data Scientist into a group of scientists that develop search algorithms for image media....,Data Scientist - Neural Networks,130000.0
163430,Centers for Disease Control and Prevention,"New York, NY","$90,023 - $150,349 a year","Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Health Scientist,120186.0
163439,Oliver James Associates,"New York, NY","$180,000 a year","This senior position will oversee the mapping of data movement, data sources, interfaces and analytics with the goal of ensuring data quality within the...",Data Scientist,180000.0
163465,ektello,"New York, NY",$43 - $48 an hour,"Process structured and unstructured data into a form suitable for analysis and reporting, empowering state-of-the-art analytics and machine learning...",Data Engineer,94640.0
163471,DEPARTMENT OF FINANCE,"Brooklyn, NY","$70,286 - $80,829 a year","Strong programming, data analysis, statistical sampling or data mining experience. For Assignment Level I (only physical, biological and environmental sciences...",Data Analyst/Modeler,75557.5
163472,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $88,213 a year","The Analyst will manage various internal and external data and analytics to answer pressing questions about outcomes and impacts, including criminal recidivism,...","Criminal Justice Analyst, Bureau of Mental Health",79249.5
163502,Robert Walters,"New York, NY","$80,000 - $120,000 a year","About the Data Scientist:. Experience with big data technologies such as Python, SQL, R, Hadoop and Scala. Key Responsibilities of the Data Scientist:....",Data Scientist,100000.0
163506,Averity,"New York, NY","$125,000 - $140,000 a year","Machine Learning is at the core of everything we do, and we are building internal products to serve our various departments using Machine Learning....",Data Scientist,132500.0
163528,ACROSTAFF,"Albany, NY",$120 an hour,Extensive analytics and data science experience in biotechnology or pharma is required as well as the ability to generate models from complicated data that tell...,Data Scientist,249600.0
163540,Oliver James Associates,"New York, NY","$160,000 - $210,000 a year",I am exclusively partnering with one the leading Life Insurers who are rapidly expanding their Data and Analytics function....,Lead Data Scientist – Life Insurance,185000.0
163548,Birch & James Associates Limited,"New York, NY","$70,000 - $110,000 a year","Triage and solve frontline engineering problems and incoming requests, whilst working with our project managers, commercial leads and data scientists to move...",Client Facing Python Engineers for A.I data consultancy,90000.0
163561,Stony Brook University,"Stony Brook, NY","$60,000 - $75,000 a year","Preparation of papers for publications, presentation of results in scientific conferences, workshops and seminars....",Research Scientist,67500.0
163566,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","$57,969 - $62,000 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",DATA ANALYST,59984.5
163571,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","$59,708 - $65,678 a year","-Work with subject matter experts to develop targeted reports, dashboards and data visualization models that surface key information from canvassing and other...","PECO Data Analyst, Bureau of Emergency Field Operations",62693.0
163591,POLICE DEPARTMENT,"New York, NY","$42,288 - $63,519 a year","Selected candidate will be responsible for processing, analyzing, and extracting information from data and conducting an analysis on issues regarding deployment...","Statistician, Level I",52903.5
163620,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $80,829 a year",The Bureau of Mental Health is responsible for mental health service delivery to residents of New York City....,"Researcher/Data Analyst, Bureau of Mental Health",75557.5
163633,GUTTMACHER,"New York, NY","$40,000 a year",The Institutes overarching goal is to ensure the highest standard of sexual and reproductive health for all people worldwide....,Research Assistant I,40000.0
163634,"Health, Department of","Albany, NY","$55,494 - $70,566 a year",And provide public health education regarding health risks. Duties Description The Research Scientist will join a strong scientific research team in the Bureau...,Research Scientist 1 Or Research Scientist 2 (Epidemiology)...,63030.0
163640,Enterprise Select,"New York, NY 10011 (Chelsea area)","$140,000 a year","Ensure data pipeline provides clean organized, aggregated data into databases for use by Data Scientists. Understanding of data structures and algorithms....",Senior Data Engineer,140000.0
163652,Research Foundation of The City University of New...,"New York, NY","$60,000 - $70,000 a year","Manage projects and project teams effectively and efficiently to deliver high-quality, actionable data and evaluation to project partners on time....",Research Analyst II,65000.0
163688,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",$32.68 - $35.95 an hour,"The Office of Public Health Engineering (OPHE) through technical monitoring, surveillance and enforcement action as necessary to ensure that the drinking water,...","City Research Scientist, Bureau of Environmental Sciences an...",71375.2
163694,DEPT OF ENVIRONMENT PROTECTION,"New York, NY","$59,708 - $72,246 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",Climate and Sustainability Analyst,65977.0
163720,"Health, Department of","Albany, NY","$79,849 - $100,645 a year","Licensed clinical laboratory technologists with work experience in clinical laboratory sciences, immunohematology, or public health....",Research Scientist 3 (Immunohematology) - 14564,90247.0
163722,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$78,630 - $102,600 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...","Senior Research Analyst, Bureau of Maternal Infant and Repro...",90615.0
163726,AiCure,"New York, NY","$40,000 - $50,000 a year","Learn how we combine machine learning, computer vision and big data (video):. Our advanced AI platform is now used in clinical research and high-risk patient...",Office Manager,45000.0
163727,Selby Jennings,"New York, NY 10167 (Midtown area)","$60,000 - $120,000 a year","Liaise with technology groups to ensure risk infrastructure is sound and valid. My client, a tier one investment bank, is looking to add an experienced...","Quantitative Analyst, AVP",90000.0
163731,"Children & Family Services, Office of","Rensselaer, NY","$68,238 - $86,398 a year","Extracting, preparing, and analyzing data from administrative databases to respond to programmatic data requests and federal reporting requirements;...",Research Scientist 2,77318.0
163733,NYC Department of Consumer Affairs,"Manhattan, NY","$70,286 - $82,000 a year","The ideal candidate has significant experience conducting labor market and industry research, proficiency in software packages and programming languages related...",Research Analyst (Job ID: 287881),76143.0
163742,DEPARTMENT OF FINANCE,"Manhattan, NY","$70,286 - $80,829 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",Policy Data Analyst,75557.5
163759,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","$78,630 - $93,180 a year",Customized Assistance Services (CAS) assists Human Resources Administration (HRA) clients with health and/or mental health problems reach the highest attainable...,DIRECTOR OF COORDINATED ENTRY,85905.0
163761,605,"New York, NY","$95,000 - $130,000 a year","Our team of data scientists pioneered the field of TV data analytics. At 605 we are engineers, analysts, data scientists, media experts, marketing strategists...",Full-Stack Engineer,112500.0
163764,Robert Walters,"New York, NY","$180,000 - $220,000 a year","The Director of Data Science for Ad-Tech will lead a global team of Data Scientists and be responsible for leading fast paced, industry changing initiatives...",Director of Data Science,200000.0
163771,Harnham,"New York, NY","$180,000 a year","Our client is interested in hiring an experienced Data Scientist, essentially with deep expertise in machine learning and predictive modeling, alongside a...","VP, Data Scientist - Banking",180000.0
163786,"Envisagenics, Inc.","New York, NY","$75,000 - $105,000 a year",To work with Envisagenics data engineers and bioinformatics scientists to enhance platform capabilities and optimize performance of the SpliceCore platform....,Software Engineer,90000.0
163792,Oliver James Associates,"New York, NY","$140,000 - $180,000 a year","Advanced in-depth specialization in mathematical analysis methods, predictive modeling, statistical analyses, machine learning, and big data technologies such...",Principal Data Scientist,160000.0
163794,"Envisagenics, Inc.","New York, NY","$50,000 - $70,000 a year",Keep updated on relevant scientific literature and product updates to help improve data analysis methods....,Bioinformatics Analyst,60000.0
163796,Mission Staffing,"New York, NY 10038 (Financial District area)","$101,000 - $125,000 a year",Administration of data and works closely with teams across the Firm to ensure. Data Analyst opening at Top Fund!...,AVP - Business Management and Data Analysis,113000.0
163803,Averity,"New York, NY","$160,000 - $180,000 a year","You will report directly to our VP of Engineering and assist in leading, growing, and mentoring other current and future data scientists on your team....",Director of Data Science (Startup),170000.0
163807,DEPT OF ENVIRONMENT PROTECTION,"Manhattan, NY","$59,708 - $72,246 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",Energy Data Policy Advisor,65977.0
163808,Averity,"New York, NY","$150,000 - $190,000 a year","As a Senior Data Scientist in our Customer Business Analytics team, you will be responsible for providing actionable insights into our various business...",Sr. Data Scientist for Fortune 500 Company,170000.0
163822,Isaacson Search Company,"New York, NY 10003 (Greenwich Village area)","$150,000 - $250,000 a year","(Experience using is required)Assess data quality, the appropriateness of quantitative models and their limitations.Run scripts and other machine learning tools...",Data Scientist,200000.0
163854,Harnham,"New York, NY","$180,000 a year","As a Senior Data Scientist, you will utilize your skills in predictive analytics including model building, machine learning and cloud computing to form an...",Senior Data Scientist,180000.0
163872,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$87,768 - $113,838 a year",The Division of Prevention and Primary Care (PPC) works to advance population health through supporting access to quality health services and introducing system...,"Senior Epidemiologist, Prevention and Primary Care",100803.0
163877,S.C. International,"New York, NY","$130,000 a year","Linear Regression, Logistic Regression, GLMs, Survival Analysis, Tree Models, Cluster Models, etc. Substantial knowledge of SAS, R, H20, Python, SQL, SPARK,...",Sr. Modeling Data Scientist,130000.0
163881,Smith Hanley Associates,"New York, NY","$130,000 - $160,000 a year","Senior Data Scientist. Strong expertise in machine learning. 5-10 years of data science experience. R, SAS, SPSS....",Senior Data Scientist,145000.0
163891,DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$59,708 - $72,246 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...","Data Analyst, Bureau of Immunization",65977.0
163894,BOARD OF CORRECTION,"New York, NY","$70,286 - $80,829 a year","For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with...",Director of Research and Analysis,75557.5
163914,DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$70,286 - $87,295 a year","The role also demands an ability to work with a diverse staff of scientists, clinicians, and program managers within the Health Department as well as with other...","Research Analyst , Bureau of HIV/AIDS Prevention and Control",78790.5
163930,Oliver James Associates,"New York, NY","$100,000 - $140,000 a year","Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and...",Lead Data Scientist,120000.0
163938,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $80,829 a year","Be a change agent and join the Primary Care Information Project (PCIP), a bureau in the NYC Department of Health and Mental Hygiene (DOHMH) devoted to improving...","Data Analyst, Bureau of Primary Care Information Project",75557.5
163942,DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$59,708 - $65,678 a year",The Center for Health Equity will align efforts in advancing health equity across the City and ensure that we deploy resources to reduce health and mental...,"Data Analyst, Bureau of Division Management/Center for Healt...",62693.0
163946,DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","$78,630 - $103,332 a year","Conduct technical and scientific research analysis including, but not limited to areas of safety management, environmental, health and safety regulatory...",Environmental Health & Safety Auditor,90981.0
163955,Vera Institute of Justice,"New York, NY 10279 (Financial District area)","$40,000 - $45,000 a year",Vera’s Substance Use and Mental Health program (SUMH) conducts applied research and provides technical assistance to help public officials and community...,"Research Analyst, Policing and SUMH",42500.0
163964,Venturi Ltd,"New York, NY","$120,000 - $200,000 a year","Senior Machine Learning Engineer, Computer Vision, CV, Technical Lead, ML Engineer, Data Scientist, Hadoop, Python, C++, SIMD, CUDA, Computer Science, Big Data,...",Senior Machine Learning Engineer ( Computer Vision / Search...,160000.0
163967,The Forum Group,"New York, NY 10016 (Gramercy area)","$45,000 - $65,000 a year","Involved in all aspects of project management life cycle including writing screeners, questionnaire design, developing tab and banner plans, testing survey...",Marketing Research Analyst/Consumer Insights Analyst,55000.0
163975,The Custom Group of Companies,"New York, NY",$18 - $20 an hour,Manage and review payroll postings to ensure they are entered accurately and efficiently. Prepare data requests and reports....,Research Analyst,39520.0
163977,ELSolutions,"New York, NY",$90 - $100 an hour,Data Scientist/ Data Engineer/ Big Data Engineer*. Our NYC client has a 6 month + contract position for a skilled and articulate professional able to perform...,Big Data Engineer,197600.0
